Lg I Dloser,Lg I Dwinner,Losses,Number of Records,Round,Team I Dloser,Team I Dwinner,Ties,W,Wins,Year ID
NL,NL,1,1,NLDS1,HOU,ATL,0,97,3,1999
NL,NL,1,1,NLDS2,ARI,NYM,0,100,3,1999
NL,AL,0,1,WS,ATL,NYY,0,103,4,1999
AL,AL,2,1,ALCS,SEA,NYY,0,91,4,2000
AL,AL,2,1,ALDS1,OAK,NYY,0,91,3,2000
AL,AL,0,1,ALDS2,CHW,SEA,0,95,3,2000
NL,NL,1,1,NLCS,STL,NYM,0,95,4,2000
NL,NL,0,1,NLDS1,ATL,STL,0,95,3,2000
NL,NL,1,1,NLDS2,SFG,NYM,0,97,3,2000
NL,AL,1,1,WS,NYM,NYY,0,94,4,2000
AL,AL,1,1,ALCS,SEA,NYY,0,116,4,2001
AL,AL,2,1,ALDS1,CLE,SEA,0,91,3,2001
AL,AL,2,1,ALDS2,OAK,NYY,0,102,3,2001
NL,NL,1,1,NLCS,ATL,ARI,0,88,4,2001
NL,NL,0,1,NLDS1,HOU,ATL,0,93,3,2001
NL,NL,2,1,NLDS2,STL,ARI,0,93,3,2001
AL,NL,3,1,WS,NYY,ARI,0,95,4,2001
AL,AL,1,1,ALCS,MIN,ANA,0,94,4,2002
AL,AL,1,1,ALDS1,NYY,ANA,0,103,3,2002
AL,AL,2,1,ALDS2,OAK,MIN,0,103,3,2002
NL,NL,1,1,NLCS,STL,SFG,0,97,4,2002
NL,NL,2,1,NLDS1,ATL,SFG,0,101,3,2002
NL,NL,0,1,NLDS2,ARI,STL,0,98,3,2002
NL,AL,3,1,WS,SFG,ANA,0,95,4,2002
AL,AL,3,1,ALCS,BOS,NYY,0,95,4,2003
AL,AL,1,1,ALDS1,MIN,NYY,0,90,3,2003
AL,AL,2,1,ALDS2,OAK,BOS,0,96,3,2003
NL,NL,3,1,NLCS,CHC,FLA,0,88,4,2003
NL,NL,1,1,NLDS1,SFG,FLA,0,100,3,2003
NL,NL,2,1,NLDS2,ATL,CHC,0,101,3,2003
AL,NL,2,1,WS,NYY,FLA,0,101,4,2003
AL,AL,3,1,ALCS,NYY,BOS,0,101,4,2004
AL,AL,0,1,ALDS1,ANA,BOS,0,92,3,2004
AL,AL,1,1,ALDS2,MIN,NYY,0,92,3,2004
NL,NL,3,1,NLCS,HOU,STL,0,92,4,2004
NL,NL,1,1,NLDS1,LAD,STL,0,93,3,2004
NL,NL,2,1,NLDS2,ATL,HOU,0,96,3,2004
NL,AL,0,1,WS,STL,BOS,0,105,4,2004
AL,AL,1,1,ALCS,ANA,CHW,0,95,4,2005
AL,AL,0,1,ALDS1,BOS,CHW,0,95,3,2005
AL,AL,2,1,ALDS2,NYY,ANA,0,95,3,2005
NL,NL,2,1,NLCS,STL,HOU,0,100,4,2005
NL,NL,0,1,NLDS1,SDP,STL,0,82,3,2005
NL,NL,1,1,NLDS2,ATL,HOU,0,90,3,2005
NL,AL,0,1,WS,HOU,CHW,0,89,4,2005
AL,AL,0,1,ALCS,OAK,DET,0,93,4,2006
AL,AL,1,1,ALDS1,NYY,DET,0,97,3,2006
AL,AL,0,1,ALDS2,MIN,OAK,0,96,3,2006
NL,NL,3,1,NLCS,NYM,STL,0,97,4,2006
NL,NL,0,1,NLDS1,LAD,NYM,0,88,3,2006
NL,NL,1,1,NLDS2,SDP,STL,0,88,3,2006
AL,NL,1,1,WS,DET,STL,0,95,4,2006
AL,AL,3,1,ALCS,CLE,BOS,0,96,4,2007
AL,AL,0,1,ALDS1,ANA,BOS,0,94,3,2007
AL,AL,1,1,ALDS2,NYY,CLE,0,94,3,2007
NL,NL,0,1,NLCS,ARI,COL,0,90,4,2007
NL,NL,0,1,NLDS1,CHC,ARI,0,85,3,2007
NL,NL,0,1,NLDS2,PHI,COL,0,89,3,2007
NL,AL,0,1,WS,COL,BOS,0,90,4,2007
AL,AL,3,1,ALCS,BOS,TBD,0,95,4,2008
AL,AL,1,1,ALDS1,ANA,BOS,0,100,3,2008
AL,AL,1,1,ALDS2,CHW,TBD,0,89,3,2008
NL,NL,1,1,NLCS,LAD,PHI,0,84,4,2008
NL,NL,0,1,NLDS1,CHC,LAD,0,97,3,2008
NL,NL,1,1,NLDS2,MIL,PHI,0,90,3,2008
AL,NL,1,1,WS,TBD,PHI,0,97,4,2008
AL,AL,2,1,ALCS,ANA,NYY,0,97,4,2009
AL,AL,0,1,ALDS1,MIN,NYY,0,87,3,2009
AL,AL,0,1,ALDS2,BOS,ANA,0,95,3,2009
NL,NL,1,1,NLCS,LAD,PHI,0,95,4,2009
NL,NL,0,1,NLDS1,STL,LAD,0,91,3,2009
NL,NL,1,1,NLDS2,COL,PHI,0,92,3,2009
NL,AL,2,1,WS,PHI,NYY,0,93,4,2009
AL,AL,2,1,ALCS,NYY,TEX,0,95,4,2010
AL,AL,2,1,ALDS1,TBD,TEX,0,96,3,2010
AL,AL,0,1,ALDS2,MIN,NYY,0,94,3,2010
NL,NL,2,1,NLCS,PHI,SFG,0,97,4,2010
NL,NL,0,1,NLDS1,CIN,PHI,0,91,3,2010
NL,NL,1,1,NLDS2,ATL,SFG,0,91,3,2010
AL,NL,1,1,WS,TEX,SFG,0,90,4,2010
AL,AL,2,1,ALCS,DET,TEX,0,95,4,2011
AL,AL,2,1,ALDS1,NYY,DET,0,97,3,2011
AL,AL,1,1,ALDS2,TBD,TEX,0,91,3,2011
NL,NL,2,1,NLCS,MIL,STL,0,96,4,2011
NL,NL,2,1,NLDS1,PHI,STL,0,102,3,2011
NL,NL,2,1,NLDS2,ARI,MIL,0,94,3,2011
AL,NL,3,1,WS,TEX,STL,0,96,4,2011
AL,AL,0,1,ALWC,TEX,BAL,0,93,1,2012
AL,AL,0,1,ALCS,NYY,DET,0,95,4,2012
AL,AL,2,1,ALDS1,BAL,NYY,0,93,3,2012
AL,AL,2,1,ALDS2,OAK,DET,0,94,3,2012
NL,NL,0,1,NLWC,ATL,STL,0,94,1,2012
NL,NL,3,1,NLCS,STL,SFG,0,88,4,2012
NL,NL,2,1,NLDS1,WSN,STL,0,98,3,2012
NL,NL,2,1,NLDS2,CIN,SFG,0,97,3,2012
AL,NL,0,1,WS,DET,SFG,0,88,4,2012
AL,AL,0,1,ALWC,CLE,TBD,0,92,1,2013
AL,AL,2,1,ALCS,DET,BOS,0,93,4,2013
AL,AL,1,1,ALDS1,TBD,BOS,0,92,3,2013
AL,AL,2,1,ALDS2,OAK,DET,0,96,3,2013
NL,NL,0,1,NLWC,CIN,PIT,0,90,1,2013
NL,NL,2,1,NLCS,LAD,STL,0,92,4,2013
NL,NL,2,1,NLDS1,PIT,STL,0,94,3,2013
NL,NL,1,1,NLDS2,ATL,LAD,0,96,3,2013
NL,AL,3,1,WS,STL,BOS,0,97,4,2013
AL,AL,0,1,ALWC,OAK,KCR,0,88,1,2014
AL,AL,0,1,ALCS,BAL,KCR,0,96,4,2014
AL,AL,0,1,ALDS1,ANA,KCR,0,98,3,2014
AL,AL,0,1,ALDS2,DET,BAL,0,90,3,2014
NL,NL,0,1,NLWC,PIT,SFG,0,88,1,2014
NL,NL,1,1,NLCS,STL,SFG,0,90,4,2014
NL,NL,1,1,NLDS1,WSN,SFG,0,96,3,2014
NL,NL,1,1,NLDS2,LAD,STL,0,94,3,2014
AL,NL,3,1,WS,KCR,SFG,0,89,4,2014
AL,AL,0,1,ALWC,NYY,HOU,0,87,1,2015
AL,AL,2,1,ALCS,TOR,KCR,0,93,4,2015
AL,AL,2,1,ALDS1,HOU,KCR,0,86,3,2015
AL,AL,2,1,ALDS2,TEX,TOR,0,88,3,2015
NL,NL,0,1,NLWC,PIT,CHC,0,98,1,2015
NL,NL,0,1,NLCS,CHC,NYM,0,97,4,2015
NL,NL,1,1,NLDS1,STL,CHC,0,100,3,2015
NL,NL,2,1,NLDS2,LAD,NYM,0,92,3,2015
NL,AL,1,1,WS,NYM,KCR,0,90,4,2015
AL,AL,0,1,ALWC,BAL,TOR,0,89,1,2016
AL,AL,1,1,ALCS,TOR,CLE,0,89,4,2016
AL,AL,0,1,ALDS1,TEX,TOR,0,95,3,2016
AL,AL,0,1,ALDS2,BOS,CLE,0,93,3,2016
NL,NL,0,1,NLWC,NYM,SFG,0,87,1,2016
NL,NL,2,1,NLCS,LAD,CHC,0,91,4,2016
NL,NL,1,1,NLDS1,SFG,CHC,0,87,3,2016
NL,NL,2,1,NLDS2,WSN,LAD,0,95,3,2016
AL,NL,3,1,WS,CLE,CHC,0,94,4,2016
